"id","firstName","lastName","adp","projectedPoints","slotName","teamName","lineupStatus","byeWeek"
"b43f80c5-dfdc-41fe-83e9-5becc84d2d9e","Christian","Kirk","166.9","110.2","WR","Arizona Cardinals",,
"8869695c-451b-40f9-a7dd-65f4a9c4ab92","Emmanuel","Sanders","169.7","89.7","WR","Buffalo Bills",,
"74eadc79-6acc-482a-a526-73925e815a09","Amon-Ra","St. Brown","169.8","93.1","WR","Detroit Lions",,
"a673b6f2-1a0c-4f46-9517-ac9623219a00","Sam","Darnold","170.4","256.2","QB","Carolina Panthers",,
"eefdfe59-f856-4de2-9d18-f48a10aa192e","Phillip","Lindsay","170.9","71.7","RB","Houston Texans",,
"909144b6-be76-4009-8463-473d7face9df","Cole","Kmet","171.4","93.4","TE","Chicago Bears",,
"a13497e1-fda9-43d7-849f-66b19e185ffb","Sterling","Shepard","173.2","95.2","WR","NY Giants",,
"d960e3cb-ce05-48f0-8cad-42caa98a7d2d","Jamison","Crowder","175.9","126.1","WR","NY Jets",,
"647892a3-8245-48e8-8c23-57b2a4ab1278","Kadarius","Toney","176.1","94.8","WR","NY Giants",,
"1015230f-f03b-4746-b566-4bfab2b750ea","Zach","Wilson","176.3","242.9","QB","NY Jets",,
"ccf69edc-5075-4066-ba59-796688727723","Austin","Hooper","176.8","95.0","TE","Cleveland Browns",,
"c7d35178-c85a-4d99-bd5a-04c5719f9cf1","Chuba","Hubbard","178.0","56.0","RB","Carolina Panthers",,
"6f16aac2-89f3-4ee1-8bd6-4a6414d01401","Tarik","Cohen","181.9","74.1","RB","Chicago Bears",,
"72882b88-c301-49cd-8728-dd61e2164698","Bryan","Edwards","182.7","75.9","WR","Las Vegas Raiders",,
"6442c478-0b39-4b19-866c-2981aad2b343","Dyami","Brown","183.2","85.1","WR","Washington Football Team",,
"6c19b0f4-dbe5-46a4-8bb9-8f4522e2f6af","Jameis","Winston","183.3","208.9","QB","New Orleans Saints",,
"91823c1e-60a8-4ed5-8d32-6254109d3b00","Deshaun","Watson","184.3","107.5","QB","Houston Texans",,
"2b31ef68-d7c0-44f5-b2f8-80d34d4087ae","Kenny","Gainwell","184.6","58.3","RB","Philadelphia Eagles",,
"f6ca360d-5dd2-40b3-bc90-924afebb3264","Tyrell","Williams","187.1","117.8","WR","Detroit Lions",,
"41bc59d5-654b-4af8-ab9e-7864a02fb2a0","Ben","Roethlisberger","187.2","215.6","QB","Pittsburgh Steelers",,
