Entry Id,Sport,Date,Title,SalaryCap,Score,Opp Score,Position,Entries,Opponent,Entry ($),Winnings ($),Link
S2285024028,nba,2020/12/26,$10K Sat NBA Piggy Bank Shot,$60k,371.60,,12108,239520,Tournament,0.05,0.12,https://www.fanduel.com/entry/ADCFQRIRE,
S2285024021,nba,2020/12/26,$10K Sat NBA Piggy Bank Shot,$60k,353.60,,39617,239520,Tournament,0.05,0.10,https://www.fanduel.com/entry/AEEAQAGMW,
S2285024016,nba,2020/12/26,$10K Sat NBA Piggy Bank Shot,$60k,313.20,,171195,239520,Tournament,0.05,0,https://www.fanduel.com/entry/AAYPRZMZU,
S2285024013,nba,2020/12/26,$10K Sat NBA Piggy Bank Shot,$60k,314.50,,167811,239520,Tournament,0.05,0,https://www.fanduel.com/entry/ACAKRIKVM,
S2285024009,nba,2020/12/26,$10K Sat NBA Piggy Bank Shot,$60k,345.20,,65889,239520,Tournament,0.05,0.10,https://www.fanduel.com/entry/AHJLOAZZY,
S2285024001,nba,2020/12/26,$10K Sat NBA Piggy Bank Shot,$60k,329.80,,116065,239520,Tournament,0.05,0,https://www.fanduel.com/entry/AHXJASLXU,
S2285023997,nba,2020/12/26,$10K Sat NBA Piggy Bank Shot,$60k,344,,69303,239520,Tournament,0.05,0.10,https://www.fanduel.com/entry/AERYCRSKS,
S2285023991,nba,2020/12/26,$10K Sat NBA Piggy Bank Shot,$60k,351.60,,49885,239520,Tournament,0.05,0.10,https://www.fanduel.com/entry/AFFVPJEIO,
S2285023983,nba,2020/12/26,$10K Sat NBA Piggy Bank Shot,$60k,384.80,,4163,239520,Tournament,0.05,0.20,https://www.fanduel.com/entry/AGHQOSCEG,
S2285023969,nba,2020/12/26,$10K Sat NBA Piggy Bank Shot,$60k,357,,31773,239520,Tournament,0.05,0.10,https://www.fanduel.com/entry/ALCTYTFKW,
S2285023966,nba,2020/12/26,$10K Sat NBA Piggy Bank Shot,$60k,348,,58100,239520,Tournament,0.05,0.10,https://www.fanduel.com/entry/ALQRLKRIS,
