Entry Id,Sport,Date,Title,SalaryCap,Score,Opp Score,Position,Entries,Opponent,Entry ($),Winnings ($),Link
S1819371880,nfl,2019/10/06,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,125.24,,258167,383233,Tournament,0.25,0,https://www.fanduel.com/entry/DZDSKMCBK,
S1819368698,nfl,2019/10/06,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,125.74,,255635,383233,Tournament,0.25,0,https://www.fanduel.com/entry/AKQLIIKDW,
S1819363857,nfl,2019/10/06,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,127.06,,248802,383233,Tournament,0.25,0,https://www.fanduel.com/entry/EMNHTSDIQ,
S1819358138,nfl,2019/10/06,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,149.94,,130058,383233,Tournament,0.25,0,https://www.fanduel.com/entry/DCRSVLJGF,
S1818952272,nfl,2019/10/06,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,208.54,,5817,383233,Tournament,0.25,1.00,https://www.fanduel.com/entry/EEMSPRTST,
S1818949913,nfl,2019/10/06,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,188.84,,20737,383233,Tournament,0.25,0.75,https://www.fanduel.com/entry/DEHLUJIFB,
S1818948046,nfl,2019/10/06,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,198.64,,11539,383233,Tournament,0.25,0.75,https://www.fanduel.com/entry/CLAYCTILV,
S1818944023,nfl,2019/10/06,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,180.26,,33204,383233,Tournament,0.25,0.60,https://www.fanduel.com/entry/DUIONRCNZ,
S1818550260,nfl,2019/10/06,$5K Sun NFL Super Hail Mary ($0.25 to Enter),$60k,141.54,,8081,23952,Tournament,0.25,0,https://www.fanduel.com/entry/CMQQVMYSN,
S1818540899,nfl,2019/10/06,$5K Sun NFL Super Hail Mary ($0.25 to Enter),$60k,178.36,,1066,23952,Tournament,0.25,0.60,https://www.fanduel.com/entry/AJASIVNKR,
S1818534347,nfl,2019/10/06,$5K Sun NFL Super Hail Mary ($0.25 to Enter),$60k,165.52,,2405,23952,Tournament,0.25,0.60,https://www.fanduel.com/entry/ELLMMIKMR,
S1818530252,nfl,2019/10/06,$5K Sun NFL Super Hail Mary ($0.25 to Enter),$60k,150.72,,5444,23952,Tournament,0.25,0.50,https://www.fanduel.com/entry/CEQCULUIZ,
S1818526495,nfl,2019/10/06,$5K Sun NFL Super Hail Mary ($0.25 to Enter),$60k,127.76,,12713,23952,Tournament,0.25,0,https://www.fanduel.com/entry/CQJZTVKBX,
S1818525030,nfl,2019/10/06,$5K Sun NFL Super Hail Mary ($0.25 to Enter),$60k,158.60,,3751,23952,Tournament,0.25,0.50,https://www.fanduel.com/entry/CQXXGYAVP,
